Time,X,Y,P
32242,0.927,0.813,0.001
32289,0.927,0.812,0.202
32289,0.927,0.812,0.202
32347,0.926,0.812,0.423
32361,0.926,0.813,0.478
32372,0.926,0.813,0.491
32390,0.925,0.814,0.546
32411,0.925,0.816,0.569
32424,0.924,0.818,0.577
32441,0.924,0.82,0.585
32457,0.923,0.822,0.587
32475,0.922,0.826,0.591
32491,0.921,0.828,0.589
32491,0.92,0.828,0.589
32507,0.919,0.831,0.589
32523,0.918,0.832,0.589
32539,0.917,0.834,0.589
32558,0.915,0.835,0.587
32572,0.914,0.835,0.589
32592,0.912,0.835,0.591
32608,0.911,0.835,0.585
32624,0.909,0.834,0.589
32639,0.908,0.833,0.591
32655,0.907,0.832,0.593
32675,0.906,0.829,0.608
32691,0.905,0.827,0.626
32707,0.904,0.825,0.632
32724,0.903,0.821,0.64
32740,0.902,0.818,0.646
32756,0.901,0.813,0.655
32772,0.899,0.809,0.669
32793,0.899,0.807,0.677
32806,0.898,0.802,0.679
32822,0.898,0.798,0.692
32841,0.898,0.793,0.696
32857,0.899,0.789,0.702
32874,0.899,0.786,0.71
32890,0.901,0.785,0.718
32906,0.901,0.782,0.726
32922,0.903,0.78,0.739
32942,0.904,0.779,0.745
32958,0.905,0.779,0.755
32974,0.907,0.778,0.772
32990,0.908,0.778,0.78
33007,0.909,0.778,0.782
33023,0.911,0.776,0.802
33039,0.913,0.776,0.815
33055,0.914,0.776,0.829
33075,0.916,0.776,0.851
33091,0.917,0.776,0.858
33107,0.918,0.776,0.87
33123,0.919,0.776,0.872
33138,0.921,0.776,0.878
33158,0.922,0.776,0.884
33175,0.922,0.776,0.886
33191,0.923,0.776,0.897
33207,0.924,0.778,0.899
33223,0.924,0.779,0.901
33239,0.925,0.779,0.901
33256,0.926,0.78,0.901
33273,0.926,0.781,0.903
33289,0.927,0.782,0.903
33306,0.927,0.784,0.901
33323,0.928,0.785,0.903
33339,0.928,0.787,0.905
33355,0.928,0.788,0.907
33375,0.928,0.791,0.907
33391,0.929,0.793,0.903
33407,0.929,0.795,0.901
33423,0.929,0.796,0.907
33439,0.929,0.798,0.907
33455,0.929,0.799,0.905
33475,0.929,0.8,0.896
33491,0.929,0.802,0.89
33509,0.929,0.804,0.89
33559,0.929,0.805,0.88
33607,0.929,0.807,0.878
33709,0.929,0.806,0.864
33729,0.929,0.805,0.862
33741,0.929,0.804,0.864
33759,0.929,0.802,0.864
33775,0.929,0.799,0.876
33792,0.929,0.795,0.878
33808,0.929,0.791,0.874
33824,0.929,0.786,0.874
33839,0.929,0.779,0.876
33857,0.929,0.774,0.878
33872,0.929,0.768,0.878
33888,0.929,0.762,0.884
33905,0.928,0.758,0.882
33924,0.928,0.752,0.886
33940,0.927,0.747,0.884
33957,0.927,0.744,0.88
33973,0.927,0.739,0.88
33988,0.927,0.735,0.88
34008,0.927,0.732,0.876
34024,0.926,0.728,0.88
34040,0.926,0.726,0.88
34056,0.926,0.724,0.878
34073,0.925,0.722,0.882
34089,0.925,0.721,0.882
34105,0.924,0.72,0.878
34121,0.923,0.72,0.874
34141,0.922,0.72,0.87
34157,0.921,0.72,0.864
34173,0.92,0.72,0.862
34189,0.919,0.721,0.86
34206,0.918,0.722,0.849
34221,0.917,0.725,0.851
34240,0.917,0.727,0.853
34257,0.917,0.732,0.851
34273,0.917,0.735,0.851
34288,0.918,0.738,0.853
34305,0.919,0.741,0.851
34325,0.92,0.744,0.856
34343,0.921,0.745,0.86
34355,0.922,0.746,0.862
34372,0.923,0.747,0.878
34388,0.924,0.747,0.886
34408,0.926,0.749,0.888
34424,0.928,0.751,0.897
34443,0.929,0.752,0.901
34455,0.931,0.753,0.911
34472,0.933,0.755,0.929
34488,0.934,0.756,0.944
34504,0.936,0.758,0.96
34521,0.937,0.76,0.981
34540,0.939,0.762,1
34556,0.941,0.764,1
34572,0.942,0.765,1
34589,0.943,0.766,1
34605,0.944,0.768,1
34622,0.945,0.769,1
34641,0.946,0.772,1
34657,0.947,0.774,1
34673,0.947,0.775,1
34689,0.948,0.778,1
34705,0.948,0.78,1
34721,0.948,0.782,1
34740,0.948,0.784,1
34755,0.948,0.786,1
34771,0.949,0.787,1
34791,0.948,0.788,1
34807,0.948,0.789,1
35021,0.949,0.789,0.94
35040,0.949,0.791,0.651
35057,0.95,0.791,0.222
35065,0.951,0.791,0.081
35066,NaN,NaN,NaN
