Time,X,Y,P
11643,0.466,0.327,0.013
11645,0.466,0.327,0.054
11645,0.466,0.327,0.054
11658,0.465,0.327,0.163
11673,0.464,0.328,0.286
11696,0.463,0.328,0.392
11705,0.463,0.328,0.456
11721,0.463,0.328,0.513
11737,0.464,0.328,0.536
11754,0.469,0.329,0.554
11769,0.475,0.333,0.556
11787,0.485,0.335,0.55
11804,0.493,0.338,0.548
11820,0.498,0.339,0.538
11836,0.501,0.338,0.54
11853,0.502,0.336,0.544
11873,0.501,0.336,0.546
11887,0.501,0.336,0.581
11903,0.499,0.336,0.655
11919,0.499,0.336,0.683
11937,0.498,0.336,0.696
11955,0.498,0.336,0.706
12143,0.498,0.335,0.739
12156,0.498,0.335,0.741
12170,0.498,0.334,0.741
12188,0.499,0.334,0.743
12216,0.499,0.333,0.759
12226,0.499,0.333,0.763
12238,0.499,0.331,0.767
12255,0.5,0.328,0.778
12272,0.5,0.324,0.792
12288,0.499,0.318,0.813
12304,0.499,0.311,0.829
12320,0.498,0.304,0.833
12337,0.495,0.293,0.849
12358,0.492,0.282,0.897
12370,0.489,0.275,0.931
12387,0.483,0.262,0.97
12404,0.476,0.247,0.985
12421,0.469,0.234,0.981
12439,0.465,0.225,0.938
12454,0.463,0.22,0.829
12469,0.462,0.22,0.698
12490,0.462,0.228,0.112
12496,0.463,0.232,0.003
12497,NaN,NaN,NaN
12760,0.515,0.352,0.011
12771,0.516,0.353,0.11
12771,0.516,0.353,0.11
12787,0.516,0.354,0.149
12804,0.516,0.355,0.251
12820,0.515,0.355,0.333
12838,0.514,0.355,0.392
12855,0.513,0.355,0.429
12870,0.512,0.353,0.446
12889,0.509,0.348,0.472
12902,0.507,0.344,0.501
12921,0.504,0.334,0.558
12938,0.502,0.325,0.642
12954,0.499,0.314,0.692
12970,0.498,0.301,0.716
12987,0.498,0.292,0.716
13004,0.501,0.285,0.69
13021,0.506,0.282,0.649
13036,0.511,0.282,0.62
13053,0.518,0.285,0.569
13071,0.524,0.286,0.503
13092,0.526,0.288,0.446
13110,0.526,0.289,0.349
13121,0.525,0.289,0.144
13132,0.524,0.291,0.024
13134,NaN,NaN,NaN
