Time,X,Y,P
15034,0.207,0.209,0.019
15046,0.207,0.211,0.087
15046,0.207,0.211,0.087
15063,0.207,0.214,0.194
15080,0.207,0.214,0.226
15097,0.207,0.213,0.272
15115,0.208,0.208,0.362
15129,0.21,0.204,0.394
15146,0.213,0.194,0.425
15148,0.213,0.192,0.429
15163,0.216,0.182,0.448
15179,0.219,0.171,0.46
15196,0.222,0.162,0.474
15213,0.225,0.154,0.507
15230,0.227,0.152,0.591
15248,0.228,0.155,0.642
15267,0.23,0.166,0.655
15279,0.231,0.176,0.657
15296,0.233,0.193,0.649
15314,0.234,0.205,0.519
15332,0.234,0.211,0.249
15340,0.235,0.212,0.095
15341,NaN,NaN,NaN
