Time,X,Y,P
2468,0.051,0.809,0.114
2489,0.051,0.809,0.784
2489,0.051,0.809,0.784
2514,0.05,0.809,0.919
2531,0.049,0.804,0.95
2548,0.049,0.794,0.956
2565,0.049,0.778,0.97
2582,0.049,0.76,1
2598,0.049,0.749,1
2615,0.048,0.744,1
2632,0.048,0.744,1
2648,0.049,0.752,1
2665,0.051,0.767,1
2682,0.054,0.788,1
2698,0.056,0.804,1
2715,0.058,0.811,1
2731,0.06,0.809,1
2748,0.061,0.799,1
2765,0.062,0.785,1
2782,0.062,0.766,1
2798,0.062,0.754,1
2816,0.063,0.746,1
2831,0.065,0.744,1
2849,0.067,0.746,0.589
2866,0.068,0.753,0.071
2871,0.069,0.754,0.019
2872,NaN,NaN,NaN
