Time,X,Y,P
8448,0.332,0.255,0.009
8456,0.332,0.256,0.183
8456,0.332,0.256,0.183
8474,0.332,0.26,0.618
8490,0.331,0.261,0.845
8505,0.331,0.261,1
8523,0.33,0.255,1
8540,0.329,0.244,1
8557,0.33,0.233,1
8572,0.332,0.224,1
8589,0.334,0.218,1
8607,0.337,0.218,1
8622,0.339,0.221,1
8639,0.342,0.229,1
8657,0.344,0.234,1
8674,0.345,0.235,1
8689,0.345,0.231,1
8706,0.346,0.224,1
8723,0.351,0.218,1
8740,0.356,0.218,1
8757,0.364,0.226,1
8773,0.368,0.238,1
8791,0.368,0.253,1
8806,0.366,0.264,1
8823,0.363,0.271,1
8841,0.361,0.275,0.44
8855,0.362,0.279,0.019
8857,NaN,NaN,NaN
