Time,X,Y,P
13706,0.621,0.273,0.022
13726,0.62,0.266,0.278
13726,0.62,0.266,0.278
13737,0.62,0.262,0.329
13754,0.621,0.261,0.358
13774,0.624,0.265,0.366
13790,0.627,0.276,0.366
13806,0.632,0.291,0.372
13808,0.633,0.294,0.372
13822,0.638,0.314,0.372
13838,0.642,0.336,0.374
13858,0.644,0.365,0.378
13871,0.644,0.382,0.376
13888,0.642,0.406,0.374
13907,0.638,0.422,0.362
13922,0.635,0.431,0.351
13942,0.632,0.431,0.36
13956,0.63,0.421,0.392
13973,0.629,0.402,0.442
13988,0.629,0.379,0.511
14008,0.629,0.346,0.604
14020,0.631,0.324,0.64
14037,0.635,0.296,0.663
14054,0.639,0.276,0.663
14072,0.643,0.264,0.489
14087,0.645,0.259,0.124
14096,0.646,0.259,0.063
14098,NaN,NaN,NaN
