Time,X,Y,P
7598,0.065,0.654,0.017
7603,0.065,0.655,0.196
7603,0.065,0.655,0.196
7621,0.065,0.656,0.384
7632,0.065,0.658,0.421
7649,0.064,0.66,0.446
7666,0.064,0.664,0.462
7698,0.063,0.674,0.544
7699,0.063,0.675,0.554
7714,0.061,0.679,0.593
7730,0.058,0.685,0.634
7749,0.055,0.687,0.651
7765,0.052,0.685,0.653
7785,0.047,0.676,0.655
7797,0.044,0.668,0.657
7815,0.041,0.654,0.665
7831,0.04,0.638,0.681
7849,0.042,0.625,0.71
7865,0.046,0.619,0.747
7881,0.05,0.618,0.774
7897,0.054,0.62,0.815
7917,0.058,0.625,0.872
7935,0.061,0.632,0.897
7947,0.062,0.638,0.905
7964,0.063,0.645,0.913
7980,0.065,0.653,0.915
7999,0.065,0.658,0.925
8020,0.065,0.66,0.927
8032,0.065,0.659,0.935
8047,0.065,0.656,0.944
8067,0.065,0.649,0.958
8085,0.066,0.638,0.981
8097,0.067,0.629,0.993
8114,0.07,0.619,1
8131,0.075,0.612,1
8149,0.083,0.611,1
8167,0.092,0.616,1
8183,0.098,0.622,0.651
8199,0.103,0.628,0.106
8205,0.103,0.629,0.046
8207,NaN,NaN,NaN
