Time,X,Y,P
21756,0.491,0.751,0.007
21767,0.491,0.751,0.089
21767,0.491,0.751,0.089
21783,0.492,0.751,0.308
21803,0.493,0.754,0.577
21818,0.494,0.759,0.71
21833,0.495,0.766,0.853
21849,0.496,0.772,0.946
21866,0.495,0.775,0.985
21886,0.492,0.775,1
21903,0.487,0.767,1
21918,0.484,0.755,1
21936,0.481,0.738,1
21952,0.479,0.725,1
21969,0.481,0.714,1
21986,0.483,0.715,1
22004,0.489,0.726,1
22019,0.496,0.744,1
22037,0.501,0.761,1
22053,0.506,0.779,1
22068,0.509,0.798,1
22083,0.511,0.807,1
22099,0.511,0.809,1
22116,0.509,0.804,1
22132,0.506,0.791,1
22152,0.503,0.772,1
22166,0.501,0.759,1
22186,0.499,0.74,1
22200,0.501,0.732,1
22216,0.502,0.725,1
22235,0.503,0.72,1
22253,0.505,0.716,0.763
22265,0.506,0.716,0.335
22279,0.508,0.718,0.083
22280,NaN,NaN,NaN
