Time,X,Y,P
10391,0.771,0.342,0.034
10408,0.77,0.344,0.142
10408,0.77,0.344,0.142
10420,0.77,0.345,0.308
10437,0.771,0.345,0.405
10454,0.775,0.345,0.487
10470,0.781,0.346,0.522
10472,0.782,0.346,0.526
10488,0.789,0.347,0.542
10506,0.797,0.345,0.55
10522,0.801,0.34,0.558
10539,0.799,0.329,0.585
10555,0.794,0.318,0.624
10572,0.785,0.301,0.687
10590,0.776,0.287,0.776
10604,0.773,0.28,0.81
10622,0.771,0.275,0.837
10638,0.774,0.276,0.872
10659,0.784,0.282,0.907
10671,0.792,0.287,0.925
10687,0.801,0.293,0.96
10704,0.811,0.298,0.991
10720,0.815,0.299,1
10741,0.816,0.298,0.874
10755,0.815,0.296,0.354
10767,0.812,0.294,0.036
10768,NaN,NaN,NaN
