Time,X,Y,P
11317,0.212,0.26,0.048
11330,0.212,0.262,0.354
11331,0.212,0.262,0.354
11346,0.212,0.264,0.638
11362,0.212,0.262,0.866
11379,0.212,0.258,1
11396,0.213,0.249,1
11413,0.213,0.241,1
11431,0.214,0.234,1
11448,0.214,0.227,1
11463,0.215,0.222,1
11479,0.215,0.22,1
11497,0.216,0.22,0.798
11517,0.216,0.222,0.058
11519,NaN,NaN,NaN
11634,0.213,0.292,0.019
11647,0.213,0.295,0.601
11647,0.213,0.295,0.601
11666,0.212,0.298,0.917
11679,0.212,0.299,1
11696,0.211,0.298,1
11713,0.212,0.298,1
11733,0.212,0.296,0.829
11751,0.213,0.294,0.185
11754,NaN,NaN,NaN
