Time,X,Y,P
5485,0.636,0.773,0.089
5499,0.636,0.772,0.435
5499,0.636,0.772,0.435
5515,0.635,0.768,0.687
5533,0.635,0.759,0.8
5555,0.636,0.747,0.935
5570,0.637,0.742,1
5585,0.638,0.736,1
5601,0.638,0.735,1
5619,0.638,0.736,1
5639,0.636,0.742,1
5651,0.636,0.747,1
5666,0.636,0.752,1
5683,0.635,0.76,1
5699,0.636,0.768,1
5720,0.638,0.775,1
5735,0.641,0.78,1
5752,0.643,0.782,1
5769,0.646,0.782,1
5783,0.649,0.782,1
5804,0.651,0.782,1
5818,0.652,0.782,1
5836,0.652,0.781,0.255
5846,0.652,0.781,0.04
5847,NaN,NaN,NaN
