Time,X,Y,P
55636,0.757,0.32,0.005
55651,0.757,0.324,0.097
55651,0.757,0.324,0.097
55663,0.758,0.328,0.165
55684,0.759,0.334,0.229
55697,0.761,0.336,0.263
55713,0.763,0.338,0.302
55735,0.764,0.336,0.36
55748,0.764,0.333,0.421
55764,0.763,0.327,0.456
55781,0.763,0.316,0.487
55799,0.762,0.306,0.495
55813,0.761,0.3,0.499
55831,0.761,0.294,0.505
55847,0.761,0.292,0.511
55865,0.762,0.294,0.528
55882,0.763,0.304,0.54
55899,0.764,0.313,0.546
55913,0.766,0.322,0.55
55930,0.77,0.333,0.565
55948,0.774,0.34,0.581
55964,0.777,0.342,0.581
55983,0.779,0.339,0.597
55998,0.781,0.333,0.601
56014,0.782,0.325,0.604
56031,0.782,0.315,0.604
56047,0.781,0.309,0.606
56064,0.781,0.305,0.61
56083,0.78,0.304,0.612
56098,0.78,0.306,0.622
56117,0.782,0.314,0.626
56135,0.784,0.325,0.63
56147,0.787,0.329,0.642
56163,0.791,0.334,0.663
56180,0.795,0.334,0.681
56201,0.798,0.329,0.688
56213,0.801,0.322,0.692
56230,0.802,0.315,0.692
56248,0.802,0.307,0.692
56265,0.802,0.301,0.671
56283,0.802,0.3,0.626
56298,0.802,0.3,0.147
56300,NaN,NaN,NaN
