Time,X,Y,P
44975,0.489,0.341,0.038
44976,0.489,0.342,0.095
44976,0.489,0.342,0.095
45002,0.488,0.345,0.407
45022,0.488,0.346,0.526
45040,0.488,0.344,0.626
45052,0.489,0.34,0.733
45069,0.489,0.332,0.899
45086,0.489,0.318,1
45103,0.489,0.305,1
45119,0.488,0.288,1
45135,0.488,0.279,1
45152,0.488,0.273,1
45170,0.489,0.273,1
45185,0.491,0.278,1
45201,0.495,0.287,1
45219,0.501,0.299,1
45236,0.507,0.309,1
45254,0.511,0.313,1
45272,0.509,0.309,1
45284,0.508,0.305,1
45303,0.503,0.299,1
45319,0.498,0.294,1
45336,0.495,0.289,1
45352,0.495,0.285,1
45368,0.498,0.28,1
45386,0.505,0.278,1
45404,0.513,0.276,1
45419,0.519,0.276,1
45435,0.523,0.276,0.28
45449,0.524,0.278,0.056
45450,NaN,NaN,NaN
