Time,X,Y,P
227283,0.362,0.842,0.007
227320,0.362,0.841,0.343
227320,0.362,0.841,0.343
227331,0.362,0.841,0.458
227347,0.362,0.84,0.513
227363,0.363,0.84,0.634
227377,0.363,0.839,0.731
227393,0.364,0.84,0.819
227411,0.365,0.842,0.892
227428,0.365,0.847,0.97
227445,0.365,0.852,0.997
227446,0.365,0.853,1
227465,0.364,0.859,1
227477,0.362,0.862,1
227494,0.359,0.864,1
227511,0.355,0.859,1
227527,0.351,0.848,1
227544,0.345,0.831,1
227563,0.342,0.809,1
227579,0.341,0.793,1
227594,0.342,0.781,1
227613,0.347,0.776,1
227630,0.352,0.778,1
227644,0.358,0.781,1
227664,0.364,0.786,1
227681,0.367,0.789,1
227694,0.368,0.791,1
227710,0.368,0.791,1
227729,0.367,0.791,1
227745,0.367,0.791,1
227766,0.366,0.791,0.249
227779,0.366,0.792,0.097
227781,NaN,NaN,NaN
