Time,X,Y,P
230742,0.796,0.845,0.015
230763,0.796,0.845,0.22
230763,0.796,0.845,0.22
230820,0.797,0.845,1
230826,0.797,0.846,1
230846,0.798,0.848,1
230860,0.798,0.853,1
230879,0.798,0.861,1
230896,0.795,0.872,1
230912,0.792,0.878,1
230927,0.788,0.88,1
230945,0.783,0.879,1
230959,0.781,0.875,1
230978,0.778,0.86,1
230994,0.777,0.844,1
231012,0.777,0.819,1
231025,0.777,0.798,1
231042,0.777,0.776,1
231061,0.777,0.755,1
231077,0.777,0.74,1
231093,0.776,0.733,1
231109,0.776,0.733,1
231126,0.775,0.736,1
231145,0.775,0.746,0.569
231160,0.773,0.758,0.044
231164,NaN,NaN,NaN
231229,0.762,0.787,0.071
231242,0.761,0.787,0.366
231242,0.761,0.787,0.366
231263,0.759,0.788,0.792
231275,0.761,0.789,1
231292,0.765,0.791,1
231308,0.774,0.794,1
231326,0.787,0.798,1
231343,0.796,0.8,1
231359,0.803,0.801,1
231376,0.806,0.802,1
231395,0.807,0.802,1
231413,0.806,0.802,1
231426,0.804,0.802,1
231443,0.803,0.802,1
231459,0.801,0.801,0.298
231474,0.801,0.801,0.202
231475,NaN,NaN,NaN
