Time,X,Y,P
14085,0.207,0.832,0.005
14103,0.208,0.833,0.206
14103,0.208,0.833,0.206
14125,0.208,0.833,0.376
14135,0.208,0.834,0.399
14153,0.209,0.835,0.546
14169,0.21,0.839,0.63
14187,0.211,0.842,0.722
14201,0.211,0.846,0.753
14217,0.21,0.849,0.788
14237,0.208,0.849,0.802
14253,0.205,0.846,0.81
14267,0.202,0.838,0.825
14287,0.197,0.813,0.858
14304,0.196,0.788,0.864
14318,0.196,0.758,0.87
14338,0.201,0.739,0.929
14354,0.206,0.736,1
14369,0.213,0.744,1
14388,0.219,0.762,1
14406,0.223,0.786,1
14420,0.221,0.809,1
14434,0.216,0.821,1
14452,0.208,0.828,1
14469,0.202,0.825,1
14487,0.197,0.815,0.46
14502,0.197,0.808,0.032
14506,NaN,NaN,NaN
