Time,X,Y,P
724139,0.358,0.366,0.013
724150,0.357,0.366,0.065
724150,0.357,0.366,0.065
724167,0.357,0.364,0.319
724184,0.358,0.361,0.45
724202,0.359,0.354,0.606
724222,0.362,0.344,0.817
724223,0.362,0.341,0.849
724234,0.363,0.333,0.938
724251,0.364,0.313,1
724270,0.364,0.292,1
724286,0.362,0.272,1
724300,0.36,0.261,1
724317,0.356,0.252,1
724337,0.35,0.249,1
724354,0.345,0.253,1
724370,0.339,0.261,1
724384,0.336,0.271,1
724401,0.332,0.286,0.948
724418,0.329,0.302,0.345
724432,0.329,0.312,0.034
724433,NaN,NaN,NaN
724637,0.358,0.413,0.067
724650,0.357,0.415,0.394
724650,0.357,0.415,0.394
724670,0.357,0.415,0.694
724683,0.357,0.416,0.812
724703,0.356,0.415,0.931
724719,0.356,0.413,0.972
724737,0.356,0.412,0.874
724752,0.357,0.412,0.649
724769,0.358,0.413,0.081
724774,NaN,NaN,NaN
