Time,X,Y,P
11133,0.942,0.854,0.054
11150,0.942,0.855,0.188
11150,0.942,0.855,0.188
11168,0.942,0.847,0.704
11183,0.941,0.839,0.778
11200,0.94,0.818,0.892
11216,0.937,0.794,0.931
11233,0.934,0.771,0.952
11249,0.931,0.747,0.935
11266,0.929,0.725,0.565
11283,0.929,0.711,0.022
11288,NaN,NaN,NaN
11406,0.967,0.771,0.024
11416,0.965,0.778,0.614
11416,0.965,0.778,0.614
11433,0.96,0.788,1
11450,0.955,0.794,1
11466,0.947,0.796,1
11482,0.938,0.798,1
11499,0.925,0.801,1
11517,0.909,0.806,0.935
11532,0.895,0.812,0.274
11543,0.885,0.815,0.046
11544,NaN,NaN,NaN
