Time,X,Y,P
12171,0.613,0.768,0.019
12255,0.613,0.768,0.851
12255,0.613,0.768,0.851
12267,0.614,0.768,0.88
12281,0.614,0.768,0.894
12298,0.616,0.769,0.915
12315,0.618,0.772,0.911
12331,0.621,0.775,0.894
12348,0.622,0.779,0.843
12364,0.622,0.781,0.776
12381,0.622,0.784,0.696
12398,0.621,0.785,0.669
12414,0.619,0.784,0.692
12432,0.617,0.78,0.839
12448,0.615,0.774,1
12464,0.615,0.768,1
12481,0.617,0.762,1
12498,0.622,0.759,1
12515,0.627,0.758,1
12532,0.632,0.759,0.351
12545,0.635,0.76,0.032
12546,NaN,NaN,NaN
