Time,X,Y,P
10493,0.049,0.307,0.017
10493,0.049,0.305,0.278
10494,0.049,0.305,0.278
10520,0.049,0.3,0.478
10536,0.049,0.299,0.534
10562,0.052,0.301,0.825
10578,0.055,0.305,0.896
10602,0.062,0.316,1
10620,0.066,0.328,1
10640,0.066,0.341,1
10661,0.063,0.354,1
10682,0.059,0.355,1
10704,0.056,0.336,1
10724,0.055,0.313,1
10748,0.056,0.288,1
10768,0.056,0.28,1
10788,0.057,0.282,1
10808,0.059,0.289,1
10828,0.063,0.3,1
10852,0.068,0.306,1
10870,0.071,0.302,1
10890,0.071,0.294,1
10912,0.071,0.286,0.394
10928,NaN,NaN,NaN
