Time,X,Y,P
14507,0.055,0.359,0.011
14516,0.055,0.361,0.073
14516,0.055,0.361,0.073
14538,0.056,0.369,0.171
14558,0.057,0.375,0.179
14581,0.059,0.381,0.185
14600,0.06,0.384,0.212
14625,0.06,0.382,0.31
14644,0.059,0.376,0.388
14664,0.057,0.367,0.433
14683,0.056,0.354,0.458
14704,0.056,0.335,0.476
14725,0.056,0.322,0.476
14746,0.059,0.314,0.481
14767,0.066,0.321,0.479
14788,0.074,0.338,0.472
14809,0.08,0.358,0.509
14831,0.084,0.371,0.583
14850,0.087,0.373,0.604
14875,0.091,0.362,0.612
14892,0.09,0.346,0.597
14913,0.087,0.326,0.581
14933,0.091,0.32,0.403
14949,0.097,0.321,0.017
14951,NaN,NaN,NaN
