Time,X,Y,P
7741,0.343,0.807,0.026
7742,0.343,0.807,0.067
7742,0.343,0.807,0.067
7770,0.343,0.805,0.329
7792,0.344,0.796,0.638
7812,0.343,0.781,0.757
7816,0.343,0.774,0.778
7832,0.342,0.755,0.8
7856,0.342,0.728,0.69
7875,0.342,0.714,0.312
7890,0.342,0.708,0.022
7892,NaN,NaN,NaN
8080,0.346,0.784,0.013
8107,0.345,0.788,0.358
8107,0.345,0.788,0.358
8124,0.347,0.792,0.515
8144,0.353,0.798,0.634
8165,0.358,0.8,0.685
8188,0.362,0.796,0.7
8208,0.361,0.786,0.708
8228,0.357,0.775,0.714
8249,0.351,0.766,0.681
8270,0.346,0.762,0.267
8282,0.345,0.765,0.001
8283,NaN,NaN,NaN
