Time,X,Y,P
5405,0.195,0.871,0.124
5410,0.195,0.873,0.384
5410,0.195,0.873,0.384
5430,0.193,0.878,0.813
5456,0.192,0.88,1
5474,0.192,0.879,1
5492,0.192,0.875,1
5517,0.195,0.858,1
5536,0.202,0.828,1
5539,0.203,0.824,1
5558,0.21,0.796,1
5578,0.217,0.773,1
5599,0.221,0.762,1
5619,0.223,0.767,1
5641,0.223,0.786,1
5662,0.225,0.811,1
5684,0.229,0.827,1
5705,0.234,0.826,1
5723,0.237,0.807,1
5745,0.236,0.773,1
5766,0.232,0.745,1
5785,0.226,0.731,1
5809,0.219,0.728,1
5827,0.215,0.734,0.845
5848,0.215,0.745,0.044
5849,NaN,NaN,NaN
