Time,X,Y,P
23427,0.625,0.308,0.071
23428,0.625,0.309,0.157
23428,0.625,0.309,0.157
23435,0.625,0.311,0.233
23455,0.626,0.314,0.587
23478,0.626,0.312,0.856
23500,0.625,0.304,1
23521,0.624,0.293,1
23541,0.626,0.288,1
23561,0.629,0.289,1
23580,0.634,0.296,1
23604,0.64,0.309,1
23622,0.643,0.318,1
23644,0.644,0.321,1
23664,0.643,0.315,1
23684,0.641,0.298,1
23706,0.639,0.274,1
23733,0.638,0.241,1
23748,0.638,0.229,1
23770,0.636,0.22,1
23792,0.631,0.216,1
23809,0.625,0.22,0.872
23830,0.621,0.227,0.108
23839,0.62,0.231,0.003
23840,NaN,NaN,NaN
