Time,X,Y,P
9123,0.769,0.746,0.081
9129,0.768,0.744,0.384
9129,0.768,0.744,0.384
9146,0.768,0.74,0.858
9164,0.767,0.736,1
9179,0.767,0.735,1
9196,0.769,0.733,1
9212,0.774,0.732,1
9228,0.779,0.733,1
9246,0.786,0.736,1
9262,0.792,0.741,1
9280,0.794,0.749,1
9295,0.794,0.756,1
9312,0.792,0.766,1
9330,0.788,0.774,1
9345,0.784,0.78,1
9363,0.777,0.787,1
9380,0.77,0.793,1
9395,0.766,0.798,1
9412,0.765,0.8,1
9429,0.767,0.804,1
9447,0.774,0.808,1
9463,0.783,0.811,1
9480,0.791,0.812,1
9496,0.796,0.813,1
9512,0.801,0.813,0.409
9528,0.801,0.814,0.062
9529,NaN,NaN,NaN
