Time,X,Y,P
5977,0.498,0.815,0.009
5986,0.498,0.818,0.153
5986,0.498,0.818,0.153
6003,0.499,0.82,0.255
6018,0.499,0.826,0.351
6036,0.499,0.832,0.396
6053,0.499,0.836,0.458
6069,0.498,0.839,0.511
6086,0.497,0.84,0.552
6102,0.493,0.836,0.593
6120,0.488,0.828,0.628
6135,0.484,0.819,0.651
6153,0.481,0.808,0.667
6170,0.48,0.8,0.675
6185,0.481,0.794,0.673
6203,0.483,0.792,0.663
6219,0.485,0.793,0.649
6236,0.488,0.796,0.642
6252,0.492,0.805,0.64
6270,0.497,0.816,0.636
6286,0.501,0.826,0.64
6303,0.504,0.833,0.651
6320,0.505,0.834,0.671
6337,0.504,0.828,0.704
6352,0.502,0.816,0.733
6369,0.497,0.799,0.794
6386,0.494,0.78,0.915
6401,0.491,0.764,0.997
6419,0.489,0.747,1
6435,0.488,0.731,1
6452,0.49,0.722,0.993
6469,0.493,0.721,0.913
6486,0.496,0.726,0.825
6502,0.497,0.732,0.757
6518,0.497,0.739,0.731
6536,0.497,0.745,0.726
6553,0.496,0.753,0.722
6569,0.496,0.762,0.728
6585,0.497,0.772,0.749
6602,0.498,0.778,0.765
6619,0.499,0.781,0.786
6636,0.502,0.785,0.829
6652,0.506,0.788,0.847
6669,0.514,0.795,0.778
6685,0.521,0.801,0.343
6698,0.524,0.804,0.036
6699,NaN,NaN,NaN
